#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2640 1.2548E-02 1.2548E-02  -0.11   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 5.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 231  1.232796  3.6613  2.3907  1.7362  4.0122  1.4164  0.4990  0.2045  0.0456
 232  1.233211  3.6582  2.3304  1.7848  3.9715  1.3250  0.3905  0.0888 -0.0752
 233  1.233583  3.6561  2.2883  1.8188  3.9472  1.2635  0.3162  0.0090 -0.1587
 234  1.233932  3.6543  2.2499  1.8496  3.9285  1.2092  0.2496 -0.0630 -0.2342
 235  1.234258  3.6506  2.1792  1.9059  3.8866  1.1059  0.1256 -0.1960 -0.3737
 236  1.234543  3.6471  2.1118  1.9593  3.8511  1.0096  0.0089 -0.3220 -0.5059
 237  1.234799  3.6436  2.0445  2.0124  3.8195  0.9159 -0.1059 -0.4465 -0.6372
 238  1.235024  3.6400  1.9785  2.0642  3.7926  0.8264 -0.2163 -0.5672 -0.7649
 239  1.235225  3.6363  1.9108  2.1171  3.7663  0.7357 -0.3282 -0.6900 -0.8954
 240  1.235405  3.6326  1.8451  2.1682  3.7442  0.6501 -0.4346 -0.8079 -1.0211
 241  1.235564  3.6291  1.7842  2.2153  3.7281  0.5741 -0.5301 -0.9151 -1.1364
 242  1.235707  3.6257  1.7247  2.2611  3.7140  0.5017 -0.6215 -1.0188 -1.2486
 243  1.235836  3.6222  1.6661  2.3062  3.7009  0.4323 -0.7095 -1.1199 -1.3588
 244  1.235953  3.6189  1.6084  2.3504  3.6883  0.3654 -0.7940 -1.2183 -1.4667
 245  1.236059  3.6155  1.5518  2.3936  3.6772  0.3020 -0.8739 -1.3135 -1.5722
 246  1.236155  3.6123  1.4968  2.4355  3.6695  0.2433 -0.9483 -1.4050 -1.6748
 247  1.236242  3.6090  1.4422  2.4770  3.6628  0.1877 -1.0191 -1.4943 -1.7762
 248  1.236322  3.6057  1.3891  2.5171  3.6552  0.1356 -1.0862 -1.5800 -1.8739
 249  1.236394  3.6025  1.3368  2.5566  3.6463  0.0856 -1.1508 -1.6639 -1.9698
 250  1.236460  3.5994  1.2859  2.5949  3.6358  0.0385 -1.2124 -1.7446 -2.0625
 251  1.236522  3.5962  1.2355  2.6326  3.6254 -0.0062 -1.2702 -1.8233 -2.1539
